filename,X1,Y1,X2,Y2,X3,Y3,X4,Y4,type
m000015983ee24b9bb06f0a493e40d396.jpg,751,397,804,397,804,454,751,454,11
m00010acb7e3041f485c097eafdc5a6eb.jpg,432,838,474,838,474,879,432,879,12
m0001619af7724df3acc13322a8efb896.jpg,701,365,769,365,769,433,701,433,11
l00024a6157f7435b88e512110db7b889.jpg,544,527,583,527,583,559,544,559,4
m0002ffc2799947daa3fc737436009228.jpg,802,849,859,849,859,905,802,905,10
l0007e0b7248340ce82246dd1328129e2.jpg,579,734,622,734,622,775,579,775,15
l000b565cb21f4f9da34053df18a8e67a.jpg,636,853,714,853,714,926,636,926,12
l000cc9b62d2f4c35bf234eb1fc3ebdc5.jpg,1237,852,1271,852,1271,886,1237,886,14
m000cc9b62d2f4c35bf234eb1fc3ebdc5.jpg,237,852,271,852,271,886,237,886,14
m00113b1a153b4c4098e6b9d0061de3c6.jpg,615,472,654,472,654,512,615,512,15
l001151d024b94d2cacb34a83b5ee64f7.jpg,1212,316,1241,316,1241,344,1212,344,12
m001151d024b94d2cacb34a83b5ee64f7.jpg,212,316,241,316,241,344,212,344,12
l001257465803421ab31517e042eb0062.jpg,1124,295,1207,295,1207,375,1124,375,14
m001257465803421ab31517e042eb0062.jpg,124,295,207,295,207,375,124,375,14
l0012efca3da04dfb9db0e6a1787c53a1.jpg,745,593,834,593,834,679,745,679,8
r0014f99891b5442eb7ed9a909260669e.jpg,284,697,398,697,398,805,284,805,10
m0016aa92831d4fda8bea85223742906e.jpg,220,660,289,660,289,739,220,739,3
m001aef8b86674b60be553f75fc891476.jpg,602,416,642,416,642,459,602,459,1
m001c91183772438db7b5672f64f09463.jpg,706,600,733,600,733,627,706,627,13
l00250531abe145ca926e5255436a3d9f.jpg,1092,1047,1126,1047,1126,1079,1092,1079,9
m00250531abe145ca926e5255436a3d9f.jpg,92,1047,126,1047,126,1079,92,1079,9
l002546f3f3aa47f88e32a22db0eeb045.jpg,607,953,635,953,635,981,607,981,7
m0026ae54e37248298cbcfe828358ee5b.jpg,723,836,774,836,774,887,723,887,8
m00274e8bc625433e9a4949541cfc4faa.jpg,452,582,498,582,498,628,452,628,13
l0031cff95ed14705a47133ff790f8cf0.jpg,624,588,678,588,678,649,624,649,17
l003e7a82aaa5403c9ce1468b3f413cfe.jpg,1193,996,1220,996,1220,1026,1193,1026,15
m003e7a82aaa5403c9ce1468b3f413cfe.jpg,193,996,220,996,220,1026,193,1026,15
l0040b1629c1c41829d248cf6b181e079.jpg,1017,309,1053,309,1053,342,1017,342,1
m0040b1629c1c41829d248cf6b181e079.jpg,17,309,53,309,53,342,17,342,1
m0041930d5dd64a62863fe4ae801896e5.jpg,1182,836,1275,836,1275,950,1182,950,11
r0041930d5dd64a62863fe4ae801896e5.jpg,262,836,355,836,355,950,262,950,11
m00424463ec704b9e96b38b4c10260793.jpg,866,632,925,632,925,690,866,690,6
l00464174f10546f3ba5766a7569d1b36.jpg,1013,227,1055,227,1055,267,1013,267,18
m00464174f10546f3ba5766a7569d1b36.jpg,13,227,55,227,55,267,13,267,18
m0047129a47ec42638c28b351b938e4ae.jpg,426,1030,457,1030,457,1062,426,1062,19
m0047f6cac7be41cfb16c2d16ae32c3f4.jpg,421,496,452,496,452,527,421,527,1
l004f91cf57ce42aea9abbd3d6dd07183.jpg,684,892,727,892,727,937,684,937,19
l005083035a88458191a146c63a56eed4.jpg,1086,835,1118,835,1118,865,1086,865,16
m005083035a88458191a146c63a56eed4.jpg,86,835,118,835,118,865,86,865,16
l005096460d7046b1a713e439462aa8f6.jpg,1238,820,1267,820,1267,851,1238,851,13
m005096460d7046b1a713e439462aa8f6.jpg,238,820,267,820,267,851,238,851,13
m005422c820544cf38e3d146fcb72dfc6.jpg,637,1059,682,1059,682,1107,637,1107,6
m005660a207ce4378a0ddb7cadb98fe09.jpg,592,816,686,816,686,923,592,923,18
m0056d287f3f348c8b406fb9714ffc6dd.jpg,408,514,438,514,438,545,408,545,15
m0057f8fb635a41b0bcbf7e9f7c4e9c55.jpg,1064,485,1181,485,1181,593,1064,593,18
r0057f8fb635a41b0bcbf7e9f7c4e9c55.jpg,144,485,261,485,261,593,144,593,18
m005a6d9229b84d19a90e9de15c80c915.jpg,235,755,310,755,310,828,235,828,16
l005b38231ba74f3a8cb5e7116cc48fbd.jpg,833,661,862,661,862,687,833,687,4
m005f1749ba8e46c79d1851079afa7cb1.jpg,454,409,495,409,495,454,454,454,11
m0061c241333246ac8e9773b8d2bb9606.jpg,1079,539,1138,539,1138,601,1079,601,19
r0061c241333246ac8e9773b8d2bb9606.jpg,159,539,218,539,218,601,159,601,19
m006265a8be6c4cce846706eeefb8cd5b.jpg,641,445,687,445,687,491,641,491,9
l006449339922488e916283265e51daaa.jpg,887,1001,915,1001,915,1031,887,1031,12
r006c819b3e284ff49bc39e3ec4cb7f31.jpg,451,459,525,459,525,532,451,532,19
m006d40159641470a8abc50c112b66357.jpg,471,1041,499,1041,499,1069,471,1069,13
l006e64bd0c024f9b94d8b69bb839d81d.jpg,1052,295,1115,295,1115,363,1052,363,20
m006e64bd0c024f9b94d8b69bb839d81d.jpg,52,295,115,295,115,363,52,363,20
l0071daac03e541e18c1bbac01392e9f0.jpg,678,800,713,800,713,829,678,829,6
m00738f1b1e4249ebad5f8346642c27c0.jpg,643,753,719,753,719,830,643,830,15
m007482cd11404400b8a50922360e6b97.jpg,300,576,326,576,326,611,300,611,10
m0075cb1cd4404047877d7e6adc78bf85.jpg,698,214,736,214,736,254,698,254,10
m00766c637a2d48efb5eaa75c1fd60138.jpg,483,351,533,351,533,407,483,407,20
m00787ee28a3b464886f06a6b15bedc81.jpg,372,284,404,284,404,321,372,321,2
m008bfb8255b54008a2323973b65d7b63.jpg,279,922,317,922,317,970,279,970,13
m008f6b4b047746458a3f522eb212dc6c.jpg,415,899,474,899,474,959,415,959,18
l0091c01301e84f97a0e756a3318a8c6f.jpg,1217,515,1242,515,1242,545,1217,545,9
m0091c01301e84f97a0e756a3318a8c6f.jpg,217,515,242,515,242,545,217,545,9
l0094a6c0887f4a21a175af450ea3fa41.jpg,473,961,598,961,598,1058,473,1058,3
m0094b0ecae8e4323b465b946d0231a3d.jpg,729,1020,761,1020,761,1055,729,1055,16
l00955bdb86574f769bf140e0a0a141b7.jpg,497,350,587,350,587,424,497,424,11
l009642f7dc444948895f23266056c4be.jpg,1005,421,1045,421,1045,458,1005,458,17
m009642f7dc444948895f23266056c4be.jpg,5,421,45,421,45,458,5,458,17
l00a5f3ef8ad84afe9968ae16f7b4209d.jpg,957,516,988,516,988,545,957,545,3
l00ab00edc8664325b2d2b2be970ccc15.jpg,806,690,853,690,853,737,806,737,16
l00accb0bcfbf4477a28605e143b50ce8.jpg,968,720,1046,720,1046,823,968,823,8
l00ae1915b8944db88844359ca9ac3a7b.jpg,911,716,962,716,962,768,911,768,19
m00af0dde8a2548babe33fcd35e7bc470.jpg,769,756,810,756,810,799,769,799,16
m00b345cf47e841d8aecced2044168046.jpg,511,756,556,756,556,803,511,803,19
l00b4fb4c9ea54cfcb582763be9ab8528.jpg,1136,367,1179,367,1179,407,1136,407,8
m00b4fb4c9ea54cfcb582763be9ab8528.jpg,136,367,179,367,179,407,136,407,8
l00b63578060b44a485d348452a60b66a.jpg,1050,831,1088,831,1088,866,1050,866,6
m00b63578060b44a485d348452a60b66a.jpg,50,831,88,831,88,866,50,866,6
l00b6f3e7afad4249a9557c386fed9ec9.jpg,687,223,725,223,725,262,687,262,2
l00b77556eddb41648bf802b879452560.jpg,1008,723,1049,723,1049,763,1008,763,20
m00b77556eddb41648bf802b879452560.jpg,8,723,49,723,49,763,8,763,20
l00b89f94f61a43408bf78be7f58c9565.jpg,517,119,628,119,628,213,517,213,1
l00b981128f9748fe9fa93a897cfb7ead.jpg,1194,389,1234,389,1234,427,1194,427,2
m00b981128f9748fe9fa93a897cfb7ead.jpg,194,389,234,389,234,427,194,427,2
l00baddae396c44fe8b686939abb6fc65.jpg,735,782,801,782,801,849,735,849,18
m00bd61710d3946e78fd529ff285862ca.jpg,451,737,531,737,531,817,451,817,18
m00bf668716444154818fece47c3d5776.jpg,322,665,368,665,368,710,322,710,2
m00bf7a13c278400181178dbf2e48629f.jpg,749,870,777,870,777,898,749,898,15
l00c6b011ed79463da8b377efc24e1ac3.jpg,1027,915,1089,915,1089,973,1027,973,4
m00c6b011ed79463da8b377efc24e1ac3.jpg,27,915,89,915,89,973,27,973,4
l00cb30bfcda147cfb6d10ff758b1c94f.jpg,1001,1002,1030,1002,1030,1029,1001,1029,6
m00cb30bfcda147cfb6d10ff758b1c94f.jpg,1,1002,30,1002,30,1029,1,1029,6
m00cbda285e4e48ae9934acca847b808b.jpg,328,1016,353,1016,353,1042,328,1042,1
l00cc051f562b446f886c5f95cf8bc3e2.jpg,1002,584,1041,584,1041,625,1002,625,9
m00cc051f562b446f886c5f95cf8bc3e2.jpg,2,584,41,584,41,625,2,625,9
r00d0d81b39254147bb71e5bc8de7ad9b.jpg,408,553,497,553,497,669,408,669,8
l00d39b21506443b0ac42d81280b38eee.jpg,449,632,490,632,490,666,449,666,4
l00d3e5b61a914a8183185bf5a9bbcb16.jpg,820,452,881,452,881,511,820,511,18
m00d4eca3411c4ff39da06e2293046aa1.jpg,629,1108,686,1108,686,1168,629,1168,17
l00d54b7a6f754f8d9aa618a1f5ae177a.jpg,1219,913,1251,913,1251,947,1219,947,8
m00d54b7a6f754f8d9aa618a1f5ae177a.jpg,219,913,251,913,251,947,219,947,8
l00d707444abb4922b39f5e5f916f653a.jpg,1139,892,1176,892,1176,927,1139,927,4
m00d707444abb4922b39f5e5f916f653a.jpg,139,892,176,892,176,927,139,927,4
m00da8e0849db4c73b7c1870aaae805f2.jpg,773,909,839,909,839,977,773,977,5
l00daa54deb604a938e366eb00566eb1c.jpg,828,478,938,478,938,581,828,581,1
m00dff93ff75a4cd28b1b45f9d2bedd9b.jpg,384,844,426,844,426,884,384,884,20
l00e16e2d9af74bf9bd8f6f8235095e56.jpg,721,621,830,621,830,718,721,718,3
l00e45b8994be4f18b4ad436d25595bc0.jpg,688,200,760,200,760,281,688,281,20
m00e52ae409f9435b9289318c1d6dfc12.jpg,371,885,400,885,400,915,371,915,7
m00e53574a2dd4f9a8f6a67deaf9973e9.jpg,654,731,695,731,695,772,654,772,14
l00e67d42b26f4b53822b01f9cd223433.jpg,769,368,822,368,822,413,769,413,20
l00e8f60dfd534e40bf6d4a33a20a50c2.jpg,1018,969,1049,969,1049,997,1018,997,4
m00e8f60dfd534e40bf6d4a33a20a50c2.jpg,18,969,49,969,49,997,18,997,4
l00e9478fa10840f1836abd12e988c05b.jpg,913,992,947,992,947,1032,913,1032,7
m00ea882a219d48b79f5ef0d0f3d1c466.jpg,1172,1140,1233,1140,1233,1199,1172,1199,10
r00ea882a219d48b79f5ef0d0f3d1c466.jpg,252,1140,313,1140,313,1199,252,1199,10
m00eb4425217c4f0c8445d738f5668310.jpg,735,514,775,514,775,554,735,554,11
l00ec604128084d36b4bf7683479fd4c7.jpg,600,963,694,963,694,1039,600,1039,3
m00ecf6605ac844d5b3298e66f8e227a6.jpg,314,569,347,569,347,601,314,601,9
m00f5ddef605d4bea9b02efa5152fa919.jpg,488,926,515,926,515,952,488,952,7
l00f91d2d1def4a58a2a584b3d5e17f20.jpg,852,903,882,903,882,933,852,933,18
l00fb1534c7ae41eebbce174c447bca91.jpg,503,534,559,534,559,587,503,587,10
l01017d1148c9433da38a35ba1b3f85de.jpg,590,999,668,999,668,1067,590,1067,19
l0102b79dbe1c4a72a06f64c95e52625a.jpg,968,935,1008,935,1008,979,968,979,3
m010395efcb93475796df9a7acc9626c4.jpg,310,507,345,507,345,542,310,542,16
